adm1,year,name,value
Akwa Ibom,2019,smc1_num,0
Akwa Ibom,2019,smc2_num,0
Akwa Ibom,2019,smc3_num,0
Akwa Ibom,2019,smc4_num,0
Anambra,2013,smc1_num,0
Anambra,2013,smc2_num,0
Anambra,2013,smc3_num,0
Anambra,2013,smc4_num,0
Anambra,2014,smc1_num,0
Anambra,2014,smc2_num,0
Anambra,2014,smc3_num,0
Anambra,2014,smc4_num,0
Anambra,2015,smc1_num,0
Anambra,2015,smc2_num,0
Anambra,2015,smc3_num,0
Anambra,2015,smc4_num,0
Anambra,2016,smc1_num,0
Anambra,2016,smc2_num,0
Anambra,2016,smc3_num,0
Anambra,2016,smc4_num,0
Anambra,2017,smc1_num,0
Anambra,2017,smc2_num,0
Anambra,2017,smc3_num,0
Anambra,2017,smc4_num,0
Anambra,2018,smc1_num,0
Anambra,2018,smc2_num,0
Anambra,2018,smc3_num,0
Anambra,2018,smc4_num,0
Anambra,2019,smc1_num,0
Anambra,2019,smc2_num,0
Anambra,2019,smc3_num,0
Anambra,2019,smc4_num,0
Bauchi,2013,smc1_num,0
Bauchi,2013,smc2_num,0
Bauchi,2013,smc3_num,0
Bauchi,2013,smc4_num,0
Bauchi,2014,smc1_num,0
Bauchi,2014,smc2_num,0
Bauchi,2014,smc3_num,0
Bauchi,2014,smc4_num,0
Bauchi,2015,smc1_num,0
Bauchi,2015,smc2_num,0
Bauchi,2015,smc3_num,0
Bauchi,2015,smc4_num,0
Bauchi,2016,smc1_num,0
Bauchi,2016,smc2_num,0
Bauchi,2016,smc3_num,0
Bauchi,2016,smc4_num,0
Bauchi,2017,smc1_num,0
Bauchi,2017,smc2_num,0
Bauchi,2017,smc3_num,0
Bauchi,2017,smc4_num,0
Bauchi,2018,smc1_num,0
Bauchi,2018,smc2_num,0
Bauchi,2018,smc3_num,0
Bauchi,2018,smc4_num,0
Bauchi,2019,smc1_num,0
Bauchi,2019,smc2_num,0
Bauchi,2019,smc3_num,0
