Name,ISO3,ID,Year,Age,Pop,PAR,incidence_rate_all_age_rmean,incidence_rate_all_age_LCI,incidence_rate_all_age_median,incidence_rate_all_age_UCI
Federal Capital Territory,NGA,10313058,2002,all_age,933127.0181,933127.0181,0.479061983,0.26435603,0.480966474,0.672680167
Abia,NGA,10313078,2002,all_age,2572243.685,2572243.685,0.480894338,0.309595343,0.479256115,0.685710669
Osun,NGA,10313126,2002,all_age,3194933.797,3194933.797,0.427816791,0.242784323,0.417991584,0.653817331
Anambra,NGA,10313334,2002,all_age,3941104.356,3941104.356,0.374288409,0.216895496,0.369322004,0.591065947
Delta,NGA,10313483,2002,all_age,3826029.178,3826029.178,0.343650636,0.138369741,0.343839758,0.567229847
Oyo,NGA,10313522,2002,all_age,5335692.035,5335692.035,0.422422885,0.236798051,0.415033953,0.603559624
Plateau,NGA,10313750,2002,all_age,2372490.256,2372490.256,0.422500351,0.218921827,0.422679972,0.642093288
Akwa Ibom,NGA,10313817,2002,all_age,3915372.023,3915372.023,0.501535065,0.317878919,0.492926791,0.724328407
Lagos,NGA,10313859,2002,all_age,8976672.949,8976672.949,0.108966597,0.039729243,0.09780498,0.208189265
Gombe,NGA,10313923,2002,all_age,2244729.646,2244729.646,0.459548276,0.195892323,0.450350907,0.746174124
Kwara,NGA,10314245,2002,all_age,2162805.774,2162805.774,0.476691408,0.259588974,0.480524357,0.709674059
Ekiti,NGA,10314343,2002,all_age,2589374.376,2589374.376,0.441538246,0.225343189,0.437843921,0.688724658
Yobe,NGA,10314496,2002,all_age,2128868.397,2128868.397,0.332120301,0.092789213,0.316198378,0.675161917
Kebbi,NGA,10314662,2002,all_age,3053426.309,3053426.309,0.391343079,0.138870421,0.387217248,0.698960813
Cross River,NGA,10314810,2002,all_age,2904009.87,2904009.87,0.457350632,0.278380031,0.446960525,0.656064688
Nasarawa,NGA,10314878,2002,all_age,1429925.386,1429925.386,0.479755765,0.290937231,0.4757659,0.705799785
Katsina,NGA,10314910,2002,all_age,5428426.726,5428426.726,0.413074429,0.155550972,0.399701582,0.773854955
Benue,NGA,10314912,2002,all_age,3706077.796,3706077.796,0.436480992,0.215923221,0.430910119,0.693609598
Kaduna,NGA,10315174,2002,all_age,5554518.666,5554518.666,0.556280281,0.32903014,0.548744309,0.792390484
Kogi,NGA,10315316,2002,all_age,3114942.032,3114942.032,0.439139482,0.200637801,0.450137346,0.685954263
Imo,NGA,10315365,2002,all_age,3400314.961,3400314.961,0.490792328,0.312719518,0.487197664,0.690183677
Sokoto,NGA,10315512,2002,all_age,3281604.517,3281604.517,0.289082054,0.063914822,0.275896865,0.587643545
Enugu,NGA,10315516,2002,all_age,3070676.276,3070676.276,0.246806449,0.116746099,0.241999014,0.397092583
Niger,NGA,10315577,2002,all_age,3366103.834,3366103.834,0.492522079,0.266708218,0.49677174,0.73052383
Bauchi,NGA,10315631,2002,all_age,4442119.784,4442119.784,0.447246636,0.210388497,0.431506473,0.749629726
Jigawa,NGA,10315654,2002,all_age,4189017.943,4189017.943,0.387497987,0.142823769,0.351662643,0.730420854
Rivers,NGA,10315660,2002,all_age,5468852.739,5468852.739,0.433544751,0.244982777,0.428584619,0.652369127
Taraba,NGA,10315664,2002,all_age,2082467.961,2082467.961,0.402353093,0.198317741,0.39562452,0.633801378
Ondo,NGA,10315731,2002,all_age,2761832.217,2761832.217,0.399181794,0.229263739,0.387328955,0.649026441
Adamawa,NGA,10315851,2002,all_age,3045919.306,3045919.306,0.411801428,0.205564195,0.404048089,0.661436714
Borno,NGA,10316414,2002,all_age,3980462.701,3980462.701,0.302054853,0.112218847,0.283074564,0.551046387
Edo,NGA,10312855,2003,all_age,3153906.961,3153906.961,0.350282775,0.169333144,0.33638148,0.605500068
Kano,NGA,10312921,2003,all_age,8836510.87,8836510.87,0.403808858,0.139123014,0.379505089,0.768525537
Bayelsa,NGA,10312967,2003,all_age,2046903.57,2046903.57,0.379863001,0.176942101,0.367099811,0.677043262
Zamfara,NGA,10312979,2003,all_age,3307715.815,3307715.815,0.397075269,0.133173178,0.378120564,0.737942134
Ebonyi,NGA,10313027,2003,all_age,2088386.661,2088386.661,0.425121747,0.247474721,0.421942646,0.64309645
Ogun,NGA,10313043,2003,all_age,3365599.992,3365599.992,0.274966715,0.159463684,0.262692906,0.414587976
Federal Capital Territory,NGA,10313058,2003,all_age,1042299.653,1042299.653,0.493012341,0.287045772,0.493868626,0.679831405
Abia,NGA,10313078,2003,all_age,2670673.564,2670673.564,0.483058222,0.309850107,0.479452514,0.684917055
Osun,NGA,10313126,2003,all_age,3300513.602,3300513.602,0.418415961,0.243289716,0.411711412,0.630713633
Anambra,NGA,10313334,2003,all_age,4081990.536,4081990.536,0.393447395,0.233286414,0.387550566,0.611994558
Delta,NGA,10313483,2003,all_age,3930550.639,3930550.639,0.329244408,0.139059683,0.330603522,0.560396137
Oyo,NGA,10313522,2003,all_age,5496184.095,5496184.095,0.409107211,0.237952659,0.399528088,0.589600056
Plateau,NGA,10313750,2003,all_age,2572097.489,2572097.489,0.420860694,0.235818743,0.41342302,0.630714195
Akwa Ibom,NGA,10313817,2003,all_age,3991066.662,3991066.662,0.500115079,0.317738734,0.493531787,0.72179298
Lagos,NGA,10313859,2003,all_age,9148781.787,9148781.787,0.109478632,0.039531332,0.099827478,0.207108427
Gombe,NGA,10313923,2003,all_age,2308883.133,2308883.133,0.462269967,0.214048903,0.458500029,0.767751632
Kwara,NGA,10314245,2003,all_age,2223557.796,2223557.796,0.479742626,0.281855302,0.480205231,0.704686299
Ekiti,NGA,10314343,2003,all_age,2581148.869,2581148.869,0.447272856,0.247220767,0.444541188,0.683772753
Yobe,NGA,10314496,2003,all_age,2218192.319,2218192.319,0.335880734,0.101278628,0.317822037,0.694899756
Kebbi,NGA,10314662,2003,all_age,3157348.506,3157348.506,0.397237974,0.144119379,0.387902108,0.690680095
Cross River,NGA,10314810,2003,all_age,2967064.896,2967064.896,0.46397999,0.287602187,0.45448963,0.670145608
Nasarawa,NGA,10314878,2003,all_age,1538258.591,1538258.591,0.491844624,0.301543316,0.486660676,0.72283097
Katsina,NGA,10314910,2003,all_age,5615496.282,5615496.282,0.400103135,0.147194724,0.378442501,0.768787763
Benue,NGA,10314912,2003,all_age,3868935.895,3868935.895,0.454400113,0.242754362,0.452873996,0.702310535
Kaduna,NGA,10315174,2003,all_age,5751924.942,5751924.942,0.550981663,0.33016475,0.54109121,0.787889525
Kogi,NGA,10315316,2003,all_age,3180178.752,3180178.752,0.453718509,0.226347061,0.463176785,0.684075823
Imo,NGA,10315365,2003,all_age,3575954.51,3575954.51,0.493363229,0.31416929,0.490326536,0.692925644
Sokoto,NGA,10315512,2003,all_age,3430055.621,3430055.621,0.281880403,0.072508827,0.272125553,0.572151335
Enugu,NGA,10315516,2003,all_age,3163566.708,3163566.708,0.24898704,0.125240496,0.242649467,0.395836536
Niger,NGA,10315577,2003,all_age,3542618.765,3542618.765,0.51063877,0.285732585,0.514192109,0.733487142
Bauchi,NGA,10315631,2003,all_age,4576604.65,4576604.65,0.445291768,0.221912878,0.424781884,0.73285676
Jigawa,NGA,10315654,2003,all_age,4308064.841,4308064.841,0.384744583,0.150856764,0.348147676,0.717346215
Rivers,NGA,10315660,2003,all_age,5474781.957,5474781.957,0.433794285,0.248757666,0.426406672,0.653598789
Taraba,NGA,10315664,2003,all_age,2198184.256,2198184.256,0.428489305,0.217443916,0.417301869,0.656202245
Ondo,NGA,10315731,2003,all_age,2827852.138,2827852.138,0.395945242,0.215246653,0.386371418,0.635194746
Adamawa,NGA,10315851,2003,all_age,3121918.418,3121918.418,0.429599661,0.227099599,0.419607823,0.658655831
Borno,NGA,10316414,2003,all_age,4097696.987,4097696.987,0.302647654,0.102954181,0.290108016,0.547853896
Edo,NGA,10312855,2004,all_age,3233388.068,3233388.068,0.367438973,0.188251666,0.359780176,0.604831002
Kano,NGA,10312921,2004,all_age,9184688.203,9184688.203,0.394972857,0.16120232,0.372445034,0.716919597
Bayelsa,NGA,10312967,2004,all_age,1988935.792,1988935.792,0.365357214,0.169676872,0.343295135,0.653609076
Zamfara,NGA,10312979,2004,all_age,3376319.764,3376319.764,0.397895384,0.150605033,0.38782839,0.735213461
Ebonyi,NGA,10313027,2004,all_age,2161030.058,2161030.058,0.450393966,0.276023052,0.443211724,0.666228904
Ogun,NGA,10313043,2004,all_age,3583506.466,3583506.466,0.274609476,0.159133527,0.266577396,0.419461125
Federal Capital Territory,NGA,10313058,2004,all_age,1167735.638,1167735.638,0.513254983,0.330061131,0.51229457,0.694041342
Abia,NGA,10313078,2004,all_age,2776270.264,2776270.264,0.487279008,0.310533195,0.484462508,0.689112038
Osun,NGA,10313126,2004,all_age,3406888.569,3406888.569,0.425878763,0.244043614,0.417551468,0.623638425
Anambra,NGA,10313334,2004,all_age,4231844.82,4231844.82,0.427514885,0.26633735,0.418465093,0.631418797
Delta,NGA,10313483,2004,all_age,4029776.468,4029776.468,0.317532254,0.141562691,0.315795841,0.53686017
Oyo,NGA,10313522,2004,all_age,5646371.528,5646371.528,0.413061459,0.266424397,0.399742549,0.598655983
Plateau,NGA,10313750,2004,all_age,2802812.84,2802812.84,0.430800298,0.241391676,0.421636734,0.659926679
Akwa Ibom,NGA,10313817,2004,all_age,4041838.317,4041838.317,0.498516083,0.314449665,0.494327874,0.718265216
Lagos,NGA,10313859,2004,all_age,9267466.286,9267466.286,0.11275277,0.040298128,0.107399324,0.215128322
Gombe,NGA,10313923,2004,all_age,2373973.258,2373973.258,0.47064195,0.22689407,0.461318676,0.776697795
Kwara,NGA,10314245,2004,all_age,2284759.333,2284759.333,0.496579487,0.317305752,0.4930979,0.710813573
Ekiti,NGA,10314343,2004,all_age,2566296.614,2566296.614,0.466102748,0.265576936,0.462985539,0.68236129
Yobe,NGA,10314496,2004,all_age,2313271.982,2313271.982,0.350062008,0.116823807,0.329620181,0.724929182
Kebbi,NGA,10314662,2004,all_age,3264297.229,3264297.229,0.404243514,0.161776922,0.393623838,0.680632146
Cross River,NGA,10314810,2004,all_age,3020617.487,3020617.487,0.477318268,0.306082644,0.469347965,0.6957971
Nasarawa,NGA,10314878,2004,all_age,1660602.711,1660602.711,0.519174633,0.322551482,0.520737337,0.740538447
Katsina,NGA,10314910,2004,all_age,5816581.145,5816581.145,0.393233389,0.152729718,0.371753794,0.738353153
Benue,NGA,10314912,2004,all_age,4055168.009,4055168.009,0.492420308,0.291260845,0.487060929,0.732265879
